,iso3,year,cckp_temp
1165,BGD,1986,1
1166,BGD,1987,1
1167,BGD,1988,1
1168,BGD,1989,1
1169,BGD,1990,1
1170,BGD,1991,1
1171,BGD,1992,1
1172,BGD,1993,1
1173,BGD,1994,1
1174,BGD,1995,1
1175,BGD,1996,1
1176,BGD,1997,1
1177,BGD,1998,1
1178,BGD,1999,1
1179,BGD,2000,1
1180,BGD,2001,1
1181,BGD,2002,1
1182,BGD,2003,1
1183,BGD,2004,1
1184,BGD,2005,1
1185,BGD,2006,1
1186,BGD,2007,1
1187,BGD,2008,1
1188,BGD,2009,1
1189,BGD,2010,1
1190,BGD,2011,1
1191,BGD,2012,1
1192,BGD,2013,1
1193,BGD,2014,1
1194,BGD,2015,1
1195,BGD,2016,1
1196,BGD,2017,1
1197,BGD,2018,1
1198,BGD,2019,1
1199,BGD,2020,1
1200,BGR,1946,1
1201,BGR,1947,1
1202,BGR,1948,1
1203,BGR,1949,1
1204,BGR,1950,1
1205,BGR,1951,1
1206,BGR,1952,1
1207,BGR,1953,1
1208,BGR,1954,1
1209,BGR,1955,1
1210,BGR,1956,1
1211,BGR,1957,1
1212,BGR,1958,1
1213,BGR,1959,1
1214,BGR,1960,1
1215,BGR,1961,1
1216,BGR,1962,1
1217,BGR,1963,1
1218,BGR,1964,1
1219,BGR,1965,1
1220,BGR,1966,1
1221,BGR,1967,1
1222,BGR,1968,1
1223,BGR,1969,1
1224,BGR,1970,1
1225,BGR,1971,1
1226,BGR,1972,1
1227,BGR,1973,1
1228,BGR,1974,1
1229,BGR,1975,1
1230,BGR,1976,1
1231,BGR,1977,1
1232,BGR,1978,1
1233,BGR,1979,1
1234,BGR,1980,1
1235,BGR,1981,1
1236,BGR,1982,1
1237,BGR,1983,1
1238,BGR,1984,1
1239,BGR,1985,1
1240,BGR,1986,1
1241,BGR,1987,1
1242,BGR,1988,1
1243,BGR,1989,1
1244,BGR,1990,1
1245,BGR,1991,1
1246,BGR,1992,1
1247,BGR,1993,1
1248,BGR,1994,1
1249,BGR,1995,1
1250,BGR,1996,1
